Smiles,Corrected
CC(C)(C)c1cc(C(=O)/C(C#N)=N/Nc2cccc(Cl)c2)no1,99
COc1cc(CCCN2CCOCC2)ccc1-c1ccc(C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN(C)C)CSc3ccccc3)c([N+](=O)[O-])c2)cc1,94000
CNC(C)[C@H]1CCC(N)[C@@H](O[C@@H]2C(NC(=O)OCC3c4ccccc4-c4ccc(S(=O)(=O)O)cc43)C[C@@H](NC(=O)OCC3c4ccccc4-c4ccc(S(=O)(=O)O)cc43)C(O[C@H]3OC[C@](C)(O)C(NC)[C@@H]3O)[C@@H]2O)O1,9200
CNC(C)[C@H]1CCC(NC(=O)OCC2c3ccccc3-c3ccc(S(=O)(=O)O)cc32)[C@@H](O[C@@H]2C(NC(=O)OCC3c4ccccc4-c4ccc(S(=O)(=O)O)cc43)C[C@@H](NC(=O)OCC3c4ccccc4-c4ccc(S(=O)(=O)O)cc43)C(O[C@H]3OC[C@](C)(O)C(NC)[C@@H]3O)[C@@H]2O)O1,9200
Cc1cc2c(C(C)C)c(O)c(O)c(C(=O)O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C(=O)O)c2c1O,90
CNCCCN1c2ccccc2CCc2ccccc21,851138.04
NS(=O)(=O)c1nnc(NC(=O)CCC(=O)NC(CCCCNC(=O)CCCc2ccc(I)cc2)C(=O)O)s1,820
COc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCOCC3)c2)c(C(=O)O)c1,8100
Cc1n[nH]c(C)c1CCCOc1cc(C(=O)O)ccc1F,8000
CN(C)C1=NN(c2ccccc2)CN(c2ccccc2Cl)C1=O,7960
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,78640
CCCCCCCCN(CCC(=O)Nc1ccccc1)CCC(=O)Nc1ccc(F)cc1,7800
CNC(C)[C@H]1CCC(NC(=O)OCC2c3ccccc3-c3ccc(S(=O)(=O)O)cc32)[C@@H](O[C@@H]2C(NC(=O)OCC3c4ccccc4-c4ccc(S(=O)(=O)O)cc43)C[C@@H](NC(=O)OCC3c4ccccc4-c4ccc(S(=O)(=O)O)cc43)C(O[C@H]3OC[C@](C)(O)C(NC)[C@@H]3O)[C@@H]2O)O1,7600
Cc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCOCC3)c2)c(C(=O)O)c1,7500
Cc1cc(C)c(S(=O)(=O)N[C@@H](Cc2ccc(-c3cccc(NC(=O)NC4CC4)c3)cc2)C(=O)O)c(C)c1,740
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,700
COCCOCCCSc1ccc(C(=O)Nc2ccc(C#N)cc2C(=O)O)cn1,700
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,69183.1
CC(C)c1csc(COc2ccn3c(=O)c(-c4nnn[nH]4)cnc3c2)n1,66400
CC(C)NCC(O)COc1cccc2ccccc12,660693.45
O=C(Nc1ccc(F)cc1C(=O)O)c1cccc(S(=O)(=O)N2CCOCC2)c1,6600
Cc1ccc2c(C=O)c(O)c(O)c(C(C)C)c2c1,660
O=C(Nc1ccc(Cl)cc1C(=O)O)c1cccc(S(=O)(=O)N2CCOCC2)c1,6500
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,645654.23
CC(C)NCC(O)COc1cccc2ccccc12,630957.34
CC(C)NCC(O)COc1cccc2ccccc12,602559.59
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,6025.6
O=C(Nc1ccccc1C(=O)O)c1cccc(S(=O)(=O)N2CCOCC2)c1,6000
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,6000
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,593
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,5500
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,54954.09
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,5400
N#Cc1ccc(NC(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)c(C(=O)O)c1,5300
Cc1ccc2c(C(=O)O)c(O)c(O)c(C(C)C)c2c1,5280
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,510000
O=C(Nc1ccc(Br)cc1C(=O)O)c1cccc(S(=O)(=O)N2CCOCC2)c1,4800
C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@H](C)C(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.C[N+](C)(C)CCO,47000
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,4677.35
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4500
Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,44000
O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,44000
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,44000
Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,44000
Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,44000
